Protein accession	Protein description	Gene name	MW [kDa]	Score	Coverage [%]	Peptides	Unique peptides	PSMs	A	B	C	A/B Ratio	A/B P value
O15228	Dihydroxyacetone phosphate acyltransferase	GNPAT	77.187	13.535	7.9	4	4	4	1.147	0.891	0.979	1.287	4.29E-03
O15230	Laminin subunit alpha-5	LAMA5	399.73	13.558	1.9	6	6	6	1.133	0.989	0.868	1.146	6.66E-02
O15231	Zinc finger protein 185	ZNF185	73.525	68.771	33.1	16	16	17	0.964	1.018	0.999	0.947	5.39E-02
O15234	Protein CASC3	CASC3	76.277	10.970999999999998	5.1	4	4	4	0.854	1.05	1.122	0.812	1.09E-01
O15258	Protein RER1	RER1	22.958000000000002	4.7373	9.2	2	2	2	1.272	1.032	0.665	1.233	
O15260	Surfeit locus protein 4	SURF4	30.394000000000002	20.3	11.5	3	3	9	1.164	0.978	0.843	1.19	1.61E-01
O15269	Serine palmitoyltransferase 1	SPTLC1	52.743	9.302999999999999	7.8	4	4	4	1.204	0.832	0.948	1.447	4.61E-02
O15270	Serine palmitoyltransferase 2	SPTLC2	62.924	6.3632	3.2	2	2	2	1.16	0.86	0.969	1.347	6.18E-02
O15287	Fanconi anemia group G protein	FANCG	68.553	3.3123	3.1	2	2	2					
O15294	UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit	OGT	116.92	39.791	9.7	9	9	10	0.962	1.065	0.962	0.903	6.86E-01
O15305	Phosphomannomutase 2	PMM2	28.081999999999997	10.613	18.3	5	5	6	0.67	1.139	1.116	0.588	1.70E-02
O15320	cTAGE family member 5	CTAGE5	90.995	11.055	5.5	3	3	3	1.147	0.957	0.885	1.199	
O15344	E3 ubiquitin-protein ligase Midline-1	MID1	75.25	27.773000000000003	9.6	6	6	8	0.956	1.126	0.958	0.849	2.19E-02
O15347	High mobility group protein B3	HMGB3	22.98	33.226	29.5	8	7	9	1.172	0.919	0.996	1.275	1.69E-02
O15355	Protein phosphatase 1G	PPM1G	59.271	79.07300000000001	22.7	14	14	27	0.787	1.146	1.123	0.687	4.27E-16
O15357	Phosphatidylinositol 3,4,5-trisphosphate 5-phosphatase 2	INPPL1	138.6	120.17	20.0	21	21	28	0.867	1.038	1.086	0.836	1.49E-07
O15360	Fanconi anemia group A protein	FANCA	162.77	13.386	4.1	5	5	7	0.972	1.028	1.014	0.945	1.15E-01
O15371	Eukaryotic translation initiation factor 3 subunit D	EIF3D	63.972	89.64299999999999	25.5	13	13	18	0.892	1.066	1.018	0.837	1.31E-03
O15372	Eukaryotic translation initiation factor 3 subunit H	EIF3H	39.93	93.369	22.7	8	8	13	0.799	1.233	1.029	0.648	1.73E-08
O15379	Histone deacetylase 3	HDAC3	48.847	8.4833	7.9	3	3	4					
O15381	Nuclear valosin-containing protein-like	NVL	95.05	65.628	15.7	11	11	12	1.028	1.017	0.931	1.011	4.97E-01
O15382	Branched-chain-amino-acid aminotransferase, mitochondrial	BCAT2	44.287	49.001999999999995	17.1	5	5	6	1.163	0.922	0.901	1.261	6.20E-02
O15397	Importin-8	IPO8	119.94	18.882	9.0	8	7	9	0.99	0.942	1.078	1.051	6.64E-01
O15400	Syntaxin-7	STX7	29.815	57.76	31.0	9	9	12	1.138	0.907	0.899	1.255	4.37E-05
O15403	Monocarboxylate transporter 7	SLC16A6	57.393	7.2428	5.9	3	3	3	1.368	1.006	0.582	1.36	
O15427	Monocarboxylate transporter 4	SLC16A3	49.468999999999994	6.3648	6.0	3	3	7	1.311	0.971	0.631	1.35	1.99E-04
O15439	Multidrug resistance-associated protein 4	ABCC4	149.52	14.79	4.0	5	4	4	1.088	0.945	0.964	1.151	1.46E-01
O15440	Multidrug resistance-associated protein 5	ABCC5	160.66	2.0046	0.8	1	1	1					
O15446	DNA-directed RNA polymerase I subunit RPA34	CD3EAP	54.985	17.05	11.0	3	3	3	0.993	0.908	1.11	1.094	1.59E-01
O15460	Prolyl 4-hydroxylase subunit alpha-2	P4HA2	60.901	23.65	15.0	8	8	8	1.149	1.0	0.837	1.149	2.96E-01
O15498	Synaptobrevin homolog YKT6	YKT6	22.416999999999998	18.793	31.8	6	6	9	0.867	1.133	1.017	0.765	3.60E-04
O15504	Nucleoporin-like protein 2	NUPL2	44.871	41.393	14.4	5	5	6	1.14	0.845	1.027	1.348	4.57E-03
O15511	Actin-related protein 2/3 complex subunit 5	ARPC5	16.32	25.919	33.8	4	4	5	0.82	1.12	1.067	0.732	2.50E-03
O15514	DNA-directed RNA polymerase II subunit RPB4	POLR2D	16.311	5.5074	19.7	2	2	3	0.936	1.058	1.02	0.885	3.49E-01
O15516	Circadian locomoter output cycles protein kaput	CLOCK	95.303	3.4316	1.7	2	2	2	1.067	0.957	0.976	1.115	
O15530	3-phosphoinositide-dependent protein kinase 1	PDPK1	63.151	4.3207	6.5	3	3	3	1.107	0.962	0.909	1.151	6.79E-01
O15533	Tapasin	TAPBP	47.625	12.732999999999999	7.4	3	3	11	1.171	0.886	0.883	1.322	4.37E-04
O15534	Period circadian protein homolog 1	PER1	136.21	1.5487	0.8	1	1	1					
O15541	RING finger protein 113A	RNF113A	38.787	18.453	9.3	3	3	3	0.708	1.074	1.264	0.659	
O15554	Intermediate conductance calcium-activated potassium channel protein 4	KCNN4	47.695	3.8543	2.3	1	1	1					
O43143	Putative pre-mRNA-splicing factor ATP-dependent RNA helicase DHX15	DHX15	90.932	123.06	34.6	26	25	43	1.01	0.968	1.035	1.044	1.01E-01
O43148	mRNA cap guanine-N7 methyltransferase	RNMT	54.843	56.20399999999999	21.2	8	8	10	0.964	0.993	1.09	0.971	1.86E-01
O43149	Zinc finger ZZ-type and EF-hand domain-containing protein 1	ZZEF1	331.07	7.3307	0.6	2	2	2					
O43156	TELO2-interacting protein 1 homolog	TTI1	122.07	12.597000000000001	4.1	4	4	4	0.907	1.018	1.094	0.891	3.64E-01
O43159	Ribosomal RNA-processing protein 8	RRP8	50.714	18.391	10.3	3	3	4	1.132	0.93	0.931	1.217	3.59E-01
O43164	E3 ubiquitin-protein ligase Praja-2	PJA2	78.21300000000001	4.2781	2.1	1	1	1					
O43169	Cytochrome b5 type B	CYB5B	16.332	13.849	21.9	4	4	4	1.188	0.98	0.814	1.213	1.95E-01
O43172	U4/U6 small nuclear ribonucleoprotein Prp4	PRPF4	58.449	107.0	27.4	12	12	18	1.138	0.936	0.952	1.215	1.65E-04
O43175	D-3-phosphoglycerate dehydrogenase	PHGDH	56.65	146.46	38.5	17	17	26	0.744	1.004	1.296	0.74	8.65E-08
O43181	NADH dehydrogenase [ubiquinone] iron-sulfur protein 4, mitochondrial	NDUFS4	20.108	22.986	25.7	4	4	6	1.136	0.964	0.847	1.177	4.19E-02
O43237	Cytoplasmic dynein 1 light intermediate chain 2	DYNC1LI2	54.099	119.24	27.4	12	12	18	0.869	1.075	1.078	0.808	7.08E-05
O43242	26S proteasome non-ATPase regulatory subunit 3	PSMD3	60.977	110.83	32.8	18	18	30	0.893	1.059	1.072	0.843	9.01E-06
O43251	RNA binding protein fox-1 homolog 2	RBFOX2	41.373000000000005	29.814	8.2	3	3	5	1.274	0.869	0.878	1.466	6.75E-04
O43252	Bifunctional 3-phosphoadenosine 5-phosphosulfate synthase 1	PAPSS1	70.832	76.72800000000001	23.1	11	10	16	0.77	1.13	1.135	0.681	1.59E-06
O43264	Centromere/kinetochore protein zw10 homolog	ZW10	88.82799999999999	17.953	8.1	8	8	11	0.917	1.039	1.039	0.883	7.21E-01
O43272	Proline dehydrogenase 1, mitochondrial	PRODH	68.001	3.3773	2.0	1	1	1					
O43290	U4/U6.U5 tri-snRNP-associated protein 1	SART1	90.25399999999999	192.98	28.5	16	16	22	1.184	0.899	0.936	1.317	2.29E-10
O43292	Glycosylphosphatidylinositol anchor attachment 1 protein	GPAA1	67.622	28.488000000000003	10.5	5	5	6	1.082	0.91	0.944	1.189	3.42E-02
O43293	Death-associated protein kinase 3	DAPK3	52.535	1.8645	2.0	1	1	1	1.042	0.972	0.988	1.072	
O43294	Transforming growth factor beta-1-induced transcript 1 protein	TGFB1I1	49.81399999999999	3.5473	3.5	2	2	3					
O43298	Zinc finger and BTB domain-containing protein 43	ZBTB43	52.63	8.7015	4.5	2	2	2					
O43299	AP-5 complex subunit zeta-1	AP5Z1	88.604	2.5038	1.1	1	1	1	0.811	1.122	1.097	0.723	
O43306	Adenylate cyclase type 6	ADCY6	130.61	6.3123	3.2	4	4	4	1.186	0.834	0.967	1.421	4.90E-02
O43310	CBP80/20-dependent translation initiation factor	CTIF	67.586	2.6306	2.2	1	1	1					
O43314	Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase 2	PPIP5K2	140.41	17.142	4.3	6	3	4	0.798	1.074	1.11	0.742	1.91E-02
O43318	Mitogen-activated protein kinase kinase kinase 7	MAP3K7	67.195	2.3819	2.1	1	1	1	0.897	1.107	1.015	0.81	
O43324	Eukaryotic translation elongation factor 1 epsilon-1	EEF1E1	19.81	27.677	14.4	3	3	4	0.891	1.064	1.067	0.837	4.41E-02
O43353	Receptor-interacting serine/threonine-protein kinase 2	RIPK2	61.193999999999996	7.5046	4.3	2	2	2	0.743	1.052	1.247	0.706	
O43379	WD repeat-containing protein 62	WDR62	165.95	2.1277	0.6	1	1	1					
O43390	Heterogeneous nuclear ribonucleoprotein R	HNRNPR	70.942	155.28	40.4	27	18	43	1.216	0.904	0.851	1.345	1.33E-22
O43395	U4/U6 small nuclear ribonucleoprotein Prp3	PRPF3	77.528	126.48	31.3	17	17	28	1.156	0.854	0.993	1.354	3.16E-11
O43396	Thioredoxin-like protein 1	TXNL1	32.251	74.816	36.0	6	6	11	0.822	1.197	1.008	0.686	1.31E-05
O43399	Tumor protein D54	TPD52L2	22.237	73.8	40.3	9	9	14	0.815	1.102	1.066	0.74	7.08E-09
O43402	ER membrane protein complex subunit 8	EMC8	23.773000000000003	40.001999999999995	21.9	4	4	4	1.148	0.9	0.874	1.276	2.66E-03
O43422	52 kDa repressor of the inhibitor of the protein kinase	PRKRIR	87.70299999999999	12.472999999999999	1.8	1	1	1					
O43426	Synaptojanin-1	SYNJ1	173.1	1.5079	0.5	1	1	1					
O43427	Acidic fibroblast growth factor intracellular-binding protein	FIBP	41.878	5.3625	8.8	4	4	4	1.025	0.88	1.102	1.165	
O43432	Eukaryotic translation initiation factor 4 gamma 3	EIF4G3	176.65	30.151999999999997	8.8	14	8	8	0.927	1.011	1.033	0.917	9.08E-02
O43435	T-box transcription factor TBX1	TBX1	43.132	1.8438	2.3	1	1	1	0.931	0.973	1.114	0.957	
O43447	Peptidyl-prolyl cis-trans isomerase H	PPIH	19.208	11.581	22.0	4	4	8	0.945	0.966	1.092	0.978	5.15E-01
O43462	Membrane-bound transcription factor site-2 protease	MBTPS2	57.443000000000005	3.4066	3.3	2	2	3	1.08	1.016	0.9	1.062	3.96E-01
O43464	Serine protease HTRA2, mitochondrial	HTRA2	48.84	18.482	7.2	3	3	3	1.121	0.844	1.03	1.328	2.16E-02
O43482	Protein Mis18-beta	OIP5	24.691	2.2134	3.1	1	1	1					
O43488	Aflatoxin B1 aldehyde reductase member 2	AKR7A2	39.589	95.178	32.3	11	11	23	0.793	1.126	1.15	0.704	1.34E-05
O43491	Band 4.1-like protein 2	EPB41L2	112.59	154.39	23.4	20	19	24	0.994	0.972	1.023	1.023	8.49E-01
O43493	Trans-Golgi network integral membrane protein 2	TGOLN2	51.111999999999995	9.5589	9.8	4	4	5					
O43504	Ragulator complex protein LAMTOR5	LAMTOR5	9.6138	1.9340000000000002	11.0	1	1	1					
O43583	Density-regulated protein	DENR	22.092	10.669	20.7	4	4	6	0.758	1.11	1.17	0.682	3.52E-02
O43592	Exportin-T	XPOT	109.96	26.809	8.1	6	6	8	0.817	1.026	1.168	0.797	1.10E-02
O43598	2-deoxynucleoside 5-phosphate N-hydrolase 1	DNPH1	19.108	30.781999999999996	9.8	1	1	3	0.761	1.094	1.182	0.695	7.12E-02
O43615	Mitochondrial import inner membrane translocase subunit TIM44	TIMM44	51.355	108.25	42.3	18	18	27	1.228	0.86	0.868	1.428	4.48E-11
O43617	Trafficking protein particle complex subunit 3	TRAPPC3	20.274	16.524	16.1	3	3	4	0.819	1.086	1.125	0.754	7.96E-02
O43633	Charged multivesicular body protein 2a	CHMP2A	25.104	25.195999999999998	27.5	6	6	10	0.856	1.151	1.018	0.744	2.70E-05
O43660	Pleiotropic regulator 1	PLRG1	57.193000000000005	73.965	15.2	6	6	9	1.056	0.876	0.939	1.205	1.57E-02
O43663	Protein regulator of cytokinesis 1	PRC1	71.60600000000001	72.74600000000001	22.4	14	14	15	0.78	0.728	1.531	1.071	3.58E-01
O43665	Regulator of G-protein signaling 10	RGS10	20.236	19.277	26.6	4	4	4	0.656	1.157	1.231	0.567	2.64E-03
O43670	BUB3-interacting and GLEBS motif-containing protein ZNF207	ZNF207	50.75	21.934	8.8	4	4	7	1.04	0.999	0.963	1.041	7.62E-01
O43674	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 5, mitochondrial	NDUFB5	21.75	22.015	15.9	3	3	3	1.208	0.845	0.93	1.43	
O43676	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 3	NDUFB3	11.402000000000001	8.1705	26.5	3	3	4	1.313	0.866	0.79	1.517	2.76E-02
O43678	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 2	NDUFA2	10.921	61.102	57.6	5	5	8	1.122	0.956	0.906	1.174	4.32E-05
O43681	ATPase ASNA1	ASNA1	38.792	14.046	18.4	6	6	7	0.908	1.055	1.026	0.861	8.33E-01
O43683	Mitotic checkpoint serine/threonine-protein kinase BUB1	BUB1	122.37	4.1496	2.5	3	3	3	0.978	0.855	1.18	1.144	3.86E-01
O43684	Mitotic checkpoint protein BUB3	BUB3	37.154	85.154	39.0	12	12	25	1.004	0.951	1.015	1.056	7.50E-01
O43688	Lipid phosphate phosphohydrolase 2	PPAP2C	32.573	2.86	3.5	1	1	1	1.117	0.887	0.99	1.259	
O43707	Alpha-actinin-4	ACTN4	104.85	323.31	58.9	57	39	118	1.008	0.967	1.028	1.042	1.73E-02
O43709	Probable 18S rRNA (guanine-N(7))-methyltransferase	WBSCR22	31.88	6.1903	6.4	1	1	1					
O43716	Glutamyl-tRNA(Gln) amidotransferase subunit C, mitochondrial	GATC	15.085999999999999	23.64	28.7	3	3	3	0.998	0.936	1.076	1.066	4.85E-01
O43719	HIV Tat-specific factor 1	HTATSF1	85.852	49.506	11.4	7	7	11	1.061	1.0	0.959	1.061	1.06E-01
O43734	Adapter protein CIKS	TRAF3IP2	64.665	3.9624	4.0	2	2	2	0.884	0.966	1.175	0.915	
Q9Y478	5-AMP-activated protein kinase subunit beta-1	PRKAB1	30.381999999999998	1.7671	3.7	1	1	1					
O43747	AP-1 complex subunit gamma-1	AP1G1	91.35	103.23	13.9	11	11	15	1.015	1.021	0.968	0.995	5.19E-01
O43752	Syntaxin-6	STX6	29.176	17.268	11.8	2	2	2	1.015	0.944	1.047	1.075	2.03E-01
O43765	Small glutamine-rich tetratricopeptide repeat-containing protein alpha	SGTA	34.063	42.126999999999995	18.2	5	5	8	0.836	1.104	1.046	0.758	1.05E-03
O43768	Alpha-endosulfine	ENSA	13.389000000000001	29.474	52.1	7	6	7	0.857	1.122	1.11	0.764	1.39E-02
O43772	Mitochondrial carnitine/acylcarnitine carrier protein	SLC25A20	32.943000000000005	11.482000000000001	20.9	5	5	5	1.185	0.98	0.818	1.209	1.82E-01
O43776	Asparagine--tRNA ligase, cytoplasmic	NARS	62.942	157.82	31.8	15	15	27	0.832	1.09	1.132	0.763	1.13E-10
O43795	Unconventional myosin-Ib	MYO1B	131.98	59.61600000000001	12.9	13	11	14	1.156	0.834	1.0	1.385	4.98E-06
O43805	Sjoegren syndrome nuclear autoantigen 1	SSNA1	13.595999999999998	65.229	26.1	3	3	4	0.802	1.076	1.154	0.746	2.95E-02
O43809	Cleavage and polyadenylation specificity factor subunit 5	NUDT21	26.226999999999997	51.908	37.4	9	9	19	1.116	0.902	0.975	1.237	4.24E-07
O43813	LanC-like protein 1	LANCL1	45.283	12.379000000000001	7.8	3	3	3	0.818	1.11	1.101	0.738	1.04E-01
O43815	Striatin	STRN	86.131	61.092	13.2	8	7	9	0.981	1.002	1.019	0.979	7.62E-01
O43818	U3 small nucleolar RNA-interacting protein 2	RRP9	51.84	11.064	9.3	4	4	5	1.202	0.89	0.891	1.351	4.93E-04
O43819	Protein SCO2 homolog, mitochondrial	SCO2	29.81	13.572000000000001	19.9	4	4	5					
O43823	A-kinase anchor protein 8	AKAP8	76.107	32.233000000000004	3.3	2	2	3	1.215	0.844	0.872	1.44	3.14E-03
O43824	Putative GTP-binding protein 6	GTPBP6	56.883	2.8141	2.3	1	1	1					
O43837	Isocitrate dehydrogenase [NAD] subunit beta, mitochondrial	IDH3B	42.183	38.797	20.8	7	7	10	1.143	0.94	0.907	1.216	6.31E-03
O43847	Nardilysin	NRD1	131.57	51.783	12.2	15	15	18	0.772	1.187	1.146	0.651	3.87E-06
O43852	Calumenin	CALU	37.106	68.476	28.6	10	10	17	1.131	0.993	0.865	1.139	3.27E-04
O43865	Putative adenosylhomocysteinase 2	AHCYL1	58.951	67.223	16.2	9	9	13	1.026	0.992	1.004	1.034	2.10E-01
O43896	Kinesin-like protein KIF1C	KIF1C	122.95	7.1879	6.3	6	3	3	0.882	0.968	1.175	0.911	
O43913	Origin recognition complex subunit 5	ORC5	50.282	19.37	7.1	3	3	4	1.088	0.928	0.98	1.172	1.63E-01
O43920	NADH dehydrogenase [ubiquinone] iron-sulfur protein 5	NDUFS5	12.517000000000001	37.459	44.3	6	6	7	1.272	0.86	0.782	1.479	1.04E-05
O43924	Retinal rod rhodopsin-sensitive cGMP 3,5-cyclic phosphodiesterase subunit delta	PDE6D	17.42	18.572	20.7	2	2	3	0.842	1.166	1.017	0.722	4.28E-02
O43933	Peroxisome biogenesis factor 1	PEX1	142.87	17.792	3.4	3	3	5	1.194	0.932	0.856	1.28	1.40E-01
O60216	Double-strand-break repair protein rad21 homolog	RAD21	71.689	46.172	12.8	8	8	9	1.16	0.897	0.931	1.293	1.28E-03
O60220	Mitochondrial import inner membrane translocase subunit Tim8 A	TIMM8A	10.998	11.554	34.0	3	3	4	1.198	0.875	0.911	1.369	5.05E-02
O60231	Putative pre-mRNA-splicing factor ATP-dependent RNA helicase DHX16	DHX16	119.26	41.49	13.1	14	13	18	0.975	0.974	1.055	1.002	6.95E-01
O60244	Mediator of RNA polymerase II transcription subunit 14	MED14	160.6	11.757	1.0	1	1	1	1.359	0.818	0.786	1.661	
O60256	Phosphoribosyl pyrophosphate synthase-associated protein 2	PRPSAP2	40.925	32.923	20.1	7	5	5	0.952	1.095	0.965	0.869	4.45E-02
O60264	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 5	SMARCA5	121.9	75.352	25.2	25	25	35	1.189	0.848	0.969	1.402	3.27E-13
O60266	Adenylate cyclase type 3	ADCY3	128.96	3.5073	1.6	2	2	2					
O60271	C-Jun-amino-terminal kinase-interacting protein 4	SPAG9	146.2	85.76700000000001	13.1	13	13	17	0.79	1.084	1.084	0.729	6.60E-08
O60287	Nucleolar pre-ribosomal-associated protein 1	URB1	254.39	28.233	2.7	5	5	5	1.017	0.961	1.035	1.058	1.11E-01
O60293	Zinc finger C3H1 domain-containing protein	ZFC3H1	226.35	8.9112	2.8	5	5	5	1.181	0.807	1.0	1.463	4.60E-03
O60294	tRNA wybutosine-synthesizing protein 4	LCMT2	75.601	29.649	8.3	4	4	5	0.74	1.067	1.175	0.694	2.43E-01
O60306	Intron-binding protein aquarius	AQR	171.29	56.298	7.7	10	9	11	1.024	0.862	1.104	1.188	1.57E-01
O60313	Dynamin-like 120 kDa protein, mitochondrial	OPA1	111.63	123.94	32.4	31	31	43	1.204	0.898	0.854	1.341	6.91E-10
O60318	Germinal-center associated nuclear protein	MCM3AP	218.4	7.6172	1.6	3	3	4	1.269	0.708	1.002	1.792	
O60331	Phosphatidylinositol 4-phosphate 5-kinase type-1 gamma	PIP5K1C	73.259	10.081	2.7	1	1	1	1.141	0.908	0.942	1.257	
O60333	Kinesin-like protein KIF1B	KIF1B	204.47	31.089000000000002	3.7	6	3	3	0.856	1.1	1.069	0.779	2.33E-03
O60341	Lysine-specific histone demethylase 1A	KDM1A	92.902	100.72	17.4	13	13	20	1.076	0.972	0.929	1.107	1.82E-01
O60343	TBC1 domain family member 4	TBC1D4	146.56	11.571	1.9	2	2	2	0.763	1.021	1.256	0.747	5.79E-03
O60344	Endothelin-converting enzyme 2	ECE2	99.772	2.0591	1.4	1	1	1					
O60353	Frizzled-6	FZD6	79.291	7.3614	1.6	1	1	1	0.935	1.084	0.996	0.863	
O60427	Fatty acid desaturase 1	FADS1	51.964	11.362	11.5	5	5	5	1.262	0.823	0.833	1.533	5.28E-03
O60437	Periplakin	PPL	204.74	187.29	26.1	42	42	52	1.17	0.946	0.878	1.237	1.00E-08
O60443	Non-syndromic hearing impairment protein 5	DFNA5	54.553999999999995	65.804	17.9	7	7	9	0.77	1.2	1.078	0.642	9.75E-07
O60488	Long-chain-fatty-acid--CoA ligase 4	ACSL4	79.187	132.66	23.3	15	13	18	1.202	0.877	0.917	1.371	1.79E-08
O60493	Sorting nexin-3	SNX3	18.762	15.195	38.9	6	5	7	0.92	1.039	1.044	0.885	8.77E-03
O60502	Bifunctional protein NCOAT	MGEA5	102.91	37.986999999999995	15.1	14	14	18	0.749	1.097	1.212	0.683	2.18E-08
O60504	Vinexin	SORBS3	75.34	31.934	9.7	5	5	7	0.886	1.123	1.091	0.789	3.86E-02
O60506	Heterogeneous nuclear ribonucleoprotein Q	SYNCRIP	69.602	254.48	51.7	30	21	49	1.072	0.965	0.918	1.111	3.32E-03
O60508	Pre-mRNA-processing factor 17	CDC40	65.521	18.55	17.1	8	8	9	1.129	0.948	0.931	1.191	1.92E-03
O60512	Beta-1,4-galactosyltransferase 3	B4GALT3	43.927	1.6262	2.0	1	1	1					
O60513	Beta-1,4-galactosyltransferase 4	B4GALT4	40.041	1.8024	2.0	1	1	2					
O60518	Ran-binding protein 6	RANBP6	124.71	17.602999999999998	7.0	7	5	6	0.985	1.019	0.971	0.966	2.76E-01
O60524	Nuclear export mediator factor NEMF	NEMF	122.95	12.174000000000001	4.9	5	5	6	1.038	1.027	1.008	1.01	5.28E-01
O60547	GDP-mannose 4,6 dehydratase	GMDS	41.949	72.932	27.2	8	8	12	0.806	1.193	1.051	0.676	5.13E-06
O60551	Glycylpeptide N-tetradecanoyltransferase 2	NMT2	56.98	-2.0	5.6	2	1	1					
O60563	Cyclin-T1	CCNT1	80.684	38.644	10.9	8	8	11	1.129	0.891	1.026	1.268	6.27E-04
O60566	Mitotic checkpoint serine/threonine-protein kinase BUB1 beta	BUB1B	119.54	4.7507	2.1	2	2	2	0.609	0.836	1.621	0.728	
O60568	Procollagen-lysine,2-oxoglutarate 5-dioxygenase 3	PLOD3	84.78399999999999	73.704	26.0	18	18	23	1.095	0.928	0.964	1.18	8.31E-05
O60573	Eukaryotic translation initiation factor 4E type 2	EIF4E2	28.362	12.523	6.9	2	2	2	0.829	1.057	1.143	0.784	
O60610	Protein diaphanous homolog 1	DIAPH1	141.35	163.99	26.0	30	30	55	0.752	1.106	1.214	0.68	3.83E-14
O60613	15 kDa selenoprotein	SEP15	17.79	8.897	9.9	1	1	1					
O60645	Exocyst complex component 3	EXOC3	86.844	15.672	4.1	3	3	3	0.906	1.006	1.108	0.9	4.07E-01
O60664	Perilipin-3	PLIN3	47.074	224.71	49.5	16	16	37	0.784	1.271	1.027	0.616	9.53E-16
O60669	Monocarboxylate transporter 2	SLC16A7	52.2	7.4577	2.3	1	1	1	1.22	1.025	0.732	1.19	
O60675	Transcription factor MafK	MAFK	17.523	9.6924	25.6	4	4	4	1.282	0.915	0.755	1.401	2.76E-03
O60678	Protein arginine N-methyltransferase 3	PRMT3	59.875	17.989	11.1	5	5	6	0.708	1.091	1.247	0.648	1.50E-01
O60684	Importin subunit alpha-7	KPNA6	60.028999999999996	54.185	22.0	11	6	7	0.999	1.063	0.943	0.94	1.05E-01
O60701	UDP-glucose 6-dehydrogenase	UGDH	55.023	166.87	42.9	19	19	40	0.8	1.159	1.048	0.691	4.96E-12
O60716	Catenin delta-1	CTNND1	108.17	83.803	17.3	13	13	17	1.058	1.058	0.989	1.0	8.85E-01
O60749	Sorting nexin-2	SNX2	58.47	29.019000000000002	21.6	10	8	12	0.729	1.065	1.176	0.685	1.22E-06
O60762	Dolichol-phosphate mannosyltransferase subunit 1	DPM1	29.634	5.6757	6.5	3	3	3	1.398	0.808	0.791	1.73	2.95E-04
O60763	General vesicular transport factor p115	USO1	107.89	204.66	24.2	21	21	25	1.026	1.055	0.906	0.973	8.93E-01
O60783	28S ribosomal protein S14, mitochondrial	MRPS14	15.139000000000001	20.985	21.9	2	2	5	1.21	0.945	0.829	1.28	2.58E-01
O60784	Target of Myb protein 1	TOM1	53.818000000000005	10.491	4.1	1	1	1	0.932	1.088	0.995	0.857	
O60825	6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 2	PFKFB2	58.476000000000006	54.985	20.0	9	9	10	0.717	1.039	1.252	0.69	2.92E-03
O60826	Coiled-coil domain-containing protein 22	CCDC22	70.755	30.826999999999998	16.1	9	9	10	0.762	1.022	1.239	0.746	7.68E-03
O60828	Polyglutamine-binding protein 1	PQBP1	30.471999999999998	8.8946	13.2	3	3	5	1.024	0.958	1.04	1.069	6.52E-01
O60830	Mitochondrial import inner membrane translocase subunit Tim17-B	TIMM17B	18.273	18.396	12.8	1	1	1	1.139	0.974	0.876	1.169	
O60831	PRA1 family protein 2	PRAF2	19.258	9.5598	23.0	3	3	4	1.264	0.918	0.79	1.376	1.81E-01
O60832	H/ACA ribonucleoprotein complex subunit 4	DKC1	57.673	124.82	27.4	13	13	16	1.155	0.903	0.933	1.279	3.62E-04
O60841	Eukaryotic translation initiation factor 5B	EIF5B	138.83	104.21	21.3	27	27	42	0.911	1.069	1.038	0.852	2.60E-10
O60869	Endothelial differentiation-related factor 1	EDF1	16.368	28.694000000000003	56.8	13	13	23	0.956	1.144	0.914	0.836	2.90E-05
O60870	DNA/RNA-binding protein KIN17	KIN	45.373000000000005	1.6961	3.1	1	1	1					
O60884	DnaJ homolog subfamily A member 2	DNAJA2	45.745	30.28	18.9	7	7	14	0.96	1.054	1.011	0.911	5.82E-03
O60885	Bromodomain-containing protein 4	BRD4	152.22	27.36	7.0	9	4	4	1.014	0.93	1.066	1.091	6.22E-01
O60888	Protein CutA	CUTA	19.116	12.167	15.6	2	2	6	0.902	1.095	1.021	0.824	3.40E-01
O60890	Oligophrenin-1	OPHN1	91.64	2.3762	1.1	1	1	1	1.144	1.032	0.81	1.109	
Q9BQ87	F-box-like/WD repeat-containing protein TBL1Y	TBL1Y	56.688	1.8867	6.9	3	1	1	1.016	1.143	0.841	0.889	
O60921	Checkpoint protein HUS1	HUS1	31.691	1.8784	3.2	1	1	1					
O60925	Prefoldin subunit 1	PFDN1	14.21	8.711	30.3	4	4	6	0.767	1.11	1.16	0.691	3.68E-03
O60927	Protein phosphatase 1 regulatory subunit 11	PPP1R11	13.952	4.7712	12.7	1	1	1	0.893	1.056	1.071	0.846	
O60934	Nibrin	NBN	84.958	64.312	10.1	8	8	9	1.175	0.931	0.912	1.262	1.05E-02
O60936	Nucleolar protein 3	NOL3	22.629	62.443999999999996	23.6	4	4	6	0.955	1.06	0.997	0.901	6.65E-03
O60941	Dystrobrevin beta	DTNB	71.355	4.0173	3.3	2	2	2					
O60942	mRNA-capping enzyme	RNGTT	68.556	4.3292	4.9	3	3	3	0.942	1.108	0.964	0.85	5.55E-02
